DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2013,1180,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2014,2050,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2015,1740,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2016,835,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2017,2985,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2018,4195,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2019,4350,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2020,3260,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2021,2645,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2022,2465,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2023,2930,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2024,2005,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2013,370,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2014,440,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2015,395,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2016,320,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2017,290,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2018,475,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2019,330,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2020,275,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2021,595,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2022,225,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2023,585,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2024,790,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2013,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2014,5,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2015,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2016,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2017,5,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2018,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2019,10,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2020,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2021,5,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2022,5,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,2023,0,,
